ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,date,average_temp_kelvin,total_vol_m3,flux,units
SW,1,1,co2,32.002518065782205,5.538686970625501e-5,220812,305.7,0.006385043,2.8084925123113638,mgc-co2_m2_d
SW,1,2,co2,23.53036954077927,0.02077038254024254,220812,306.5,0.007651811,2.468216405410566,mgc-co2_m2_d
SW,1,3,co2,25.542008709740493,0.0146785648376582,220812,305.15,0.006955088,2.446048336924553,mgc-co2_m2_d
SW,1,4,co2,17.270977479632528,0.03698942631936655,220812,305.15,0.01012201,2.4070828405302125,mgc-co2_m2_d
SW,2,1,co2,15.352263857324324,0.37158123985300895,220812,305.6,0.007588473,1.6017480375923732,mgc-co2_m2_d
SW,2,2,co2,29.227594410576778,1.2635693378481273e-4,220812,308.6,0.007145104,2.8433245582008326,mgc-co2_m2_d
SW,2,3,co2,33.40617845531225,0.07216095737191953,220812,305.3,0.007081765,3.2558338559497892,mgc-co2_m2_d
SW,2,4,co2,29.704839655778837,3.760648248773435e-4,220812,305.05,0.008538549,3.4935019454851983,mgc-co2_m2_d
UP,1,1,co2,24.87051204343844,0.03823401991365748,220812,306.45,0.009171934,3.1275679450985105,mgc-co2_m2_d
UP,1,2,co2,17.659282368926338,7.862922559334e-5,220812,306,0.009551964,2.3161412040428546,mgc-co2_m2_d
UP,1,3,co2,48.971842010890704,2.1169804159814263e-5,220812,305.55,0.007968503,5.366135359583316,mgc-co2_m2_d
UP,1,4,co2,24.30055882720884,6.668678096472094e-4,220812,305.75,0.007905165,2.6398634659436144,mgc-co2_m2_d
UP,2,1,co2,17.983150231951864,8.379118634445388e-5,220812,306.3,0.00891858,2.2000635164482336,mgc-co2_m2_d
UP,2,2,co2,19.48964405049767,0.00118592035410925,220812,306.25,0.006765073,1.8089269483404546,mgc-co2_m2_d
UP,2,3,co2,13.303175880080213,0.08862741438566196,220812,305.2,0.008981918,1.6449799950657875,mgc-co2_m2_d
UP,2,4,co2,NA,NA,220812,305.75,0.008475211,NA,mgc-co2_m2_d
SW,1,1,ch4,-0.0099025432927881,0.08960488937690649,220812,305.7,0.006385043,-0.8690322003246007,mugc-ch4_m2_d
SW,1,2,ch4,0.04160129766538445,0.302656101105062,220812,306.5,0.007651811,4.3637650996563835,mugc-ch4_m2_d
SW,1,3,ch4,-0.00792303223548724,0.14495053136141994,220812,305.15,0.006955088,-0.7587547261160609,mugc-ch4_m2_d
SW,1,4,ch4,-0.00262557858790024,0.6232823761454824,220812,305.15,0.01012201,-0.3659309481962617,mugc-ch4_m2_d
SW,2,1,ch4,-0.08148058835007926,0.00624603293271648,220812,305.6,0.007588473,-8.501115777094105,mugc-ch4_m2_d
SW,2,2,ch4,-0.00622383515756094,0.00250402174344675,220812,308.6,0.007145104,-0.6054683495704616,mugc-ch4_m2_d
SW,2,3,ch4,0.02855378695408028,0.15572277356820124,220812,305.3,0.007081765,2.782909945986009,mugc-ch4_m2_d
